spot_location_1,spot_location_2,spot_location_3,gene,is_noise,clustermap
719,442,25,1,0,1385.0
723,603,25,1,0,353.0
734,594,25,1,0,354.0
750,481,26,1,0,659.0
771,540,25,1,0,250.0
773,438,26,1,0,342.0
877,464,26,1,0,228.0
879,526,25,1,0,216.0
883,531,25,1,0,398.0
887,507,27,1,0,216.0
893,537,24,1,0,216.0
898,539,26,1,0,216.0
904,513,25,1,0,216.0
908,525,25,1,0,216.0
914,928,27,1,0,225.0
918,934,26,1,0,225.0
922,527,25,1,0,405.0
934,547,25,1,0,405.0
935,815,25,1,0,47.0
940,539,26,1,0,405.0
941,972,28,1,0,1532.0
948,568,25,1,0,1434.0
954,996,29,1,-1,-1.0
957,587,27,1,0,1434.0
984,588,26,1,0,1434.0
1024,450,26,1,-1,-1.0
12,503,26,1,-1,-1.0
49,252,27,1,-1,-1.0
59,239,29,1,-1,-1.0
101,527,26,1,-1,-1.0
104,464,26,1,0,655.0
169,600,26,1,0,666.0
177,527,26,1,0,236.0
191,420,26,1,0,241.0
191,523,28,1,0,236.0
192,475,26,1,-1,-1.0
199,525,28,1,0,236.0
202,969,26,1,0,710.0
249,156,26,1,0,364.0
296,165,27,1,0,364.0
297,674,25,1,0,61.0
314,278,27,1,0,396.0
333,862,26,1,0,210.0
334,670,27,1,0,387.0
379,159,26,1,0,86.0
383,141,26,1,-1,-1.0
452,602,26,1,0,1441.0
481,515,27,1,0,25.0
532,199,26,1,-1,-1.0
636,549,26,1,0,30.0
651,721,26,1,0,1134.0
654,536,26,1,0,26.0
666,582,26,1,0,111.0
673,591,26,1,0,212.0
682,587,27,1,0,212.0
687,541,26,1,0,-1.0
704,542,26,1,0,695.0
709,586,27,1,0,353.0
724,534,26,1,-1,-1.0
729,584,25,1,0,354.0
734,602,27,1,0,354.0
740,605,26,1,-1,-1.0
741,600,27,1,-1,-1.0
747,580,26,1,0,12.0
766,425,26,1,-1,-1.0
786,770,26,1,0,1066.0
788,466,26,1,0,1397.0
828,440,27,1,0,664.0
831,424,27,1,0,345.0
901,522,27,1,0,216.0
919,526,27,1,0,405.0
920,925,27,1,0,225.0
928,539,26,1,0,405.0
935,542,27,1,0,405.0
938,569,33,1,0,1434.0
945,569,26,1,0,1434.0
951,578,26,1,0,1434.0
954,6,28,1,-1,-1.0
979,593,26,1,0,1434.0
19,517,27,1,0,33.0
21,514,28,1,0,33.0
34,526,27,1,0,33.0
42,563,27,1,0,220.0
45,555,27,1,0,33.0
49,570,27,1,0,220.0
107,489,27,1,0,1046.0
115,4,28,1,0,-1.0
140,73,29,1,0,1231.0
158,605,27,1,0,666.0
165,602,27,1,0,666.0
166,502,28,1,-1,-1.0
199,531,30,1,0,236.0
245,140,26,1,0,18.0
286,158,28,1,0,364.0
296,790,27,1,0,376.0
300,161,28,1,0,364.0
339,290,28,1,0,396.0
372,185,28,1,0,355.0
384,192,27,1,0,355.0
394,250,27,1,-1,-1.0
396,220,27,1,0,351.0
409,186,28,1,0,23.0
411,202,27,1,-1,-1.0
436,546,27,1,0,401.0
472,605,27,1,0,1441.0
486,506,28,1,0,25.0
504,504,27,1,0,25.0
508,499,28,1,0,25.0
591,656,26,1,0,663.0
619,559,28,1,0,30.0
625,474,27,1,0,219.0
671,593,28,1,0,212.0
702,553,26,1,0,695.0
712,634,29,1,0,369.0
744,623,27,1,0,363.0
756,403,27,1,0,335.0
756,483,27,1,0,659.0
768,38,28,1,0,3.0
773,534,28,1,0,250.0
774,481,27,1,0,1397.0
784,460,27,1,0,343.0
877,457,27,1,0,228.0
912,455,29,1,0,437.0
952,15,32,1,-1,-1.0
968,564,27,1,0,1434.0
978,694,26,1,-1,-1.0
6,288,28,1,0,1326.0
8,134,27,1,0,229.0
18,196,30,1,0,1290.0
24,591,28,1,0,366.0
28,538,28,1,0,33.0
32,556,28,1,0,635.0
53,563,28,1,0,220.0
53,570,27,1,0,220.0
57,573,28,1,0,220.0
86,557,28,1,0,1427.0
100,540,29,1,0,1427.0
105,594,28,1,0,486.0
108,591,28,1,0,486.0
123,585,28,1,0,74.0
150,524,28,1,-1,-1.0
156,607,28,1,0,666.0
167,493,29,1,0,386.0
186,544,28,1,0,236.0
